term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"zones","zone","9","1000","0.009","0","0"
"york","york","9","1000","0.009","0","0"
"yemen","yemen","9","1000","0.009","0","0"
"winning","win","9","1000","0.009","0","0"
"warfare","warfar","9","1000","0.009","0","0"
"visit","visit","9","1000","0.009","0","0"
"view","view","9","1000","0.009","0","0"
"travel","travel","9","1000","0.009","0","0"
"test","test","9","1000","0.009","0","0"
"terms","term","9","1000","0.009","0","0"
"speech","speech","9","1000","0.009","0","0"
"southern","southern","9","1000","0.009","0","0"
"shooting","shoot","9","1000","0.009","0","0"
"set","set","9","1000","0.009","0","0"
"rules","rule","9","1000","0.009","0","0"
"result","result","9","1000","0.009","0","0"
"rates","rate","9","1000","0.009","0","0"
"racism","racism","9","1000","0.009","0","0"
"program","program","9","1000","0.009","0","0"
"price","price","9","1000","0.009","0","0"
"post","post","9","1000","0.009","0","0"
"opposition","opposit","9","1000","0.009","0","0"
"network","network","9","1000","0.009","0","0"
"mark","mark","9","1000","0.009","0","0"
"lose","lose","9","1000","0.009","0","0"
"john","john","9","1000","0.009","0","0"
"israel","israel","9","1000","0.009","0","0"
"iran","iran","9","1000","0.009","0","0"
"infinity","infin","9","1000","0.009","0","0"
"important","import","9","1000","0.009","0","0"
"impact","impact","9","1000","0.009","0","0"
"horse","hors","9","1000","0.009","0","0"
"hit","hit","9","1000","0.009","0","0"
"held","held","9","1000","0.009","0","0"
"happened","happen","9","1000","0.009","0","0"
"hands","hand","9","1000","0.009","0","0"
"few","few","9","1000","0.009","0","0"
"era","era","9","1000","0.009","0","0"
"effects","effect","9","1000","0.009","0","0"
"early","earli","9","1000","0.009","0","0"
"decades","decad","9","1000","0.009","0","0"
"court","court","9","1000","0.009","0","0"
"cost","cost","9","1000","0.009","0","0"
"company","compani","9","1000","0.009","0","0"
"command","command","9","1000","0.009","0","0"
"clear","clear","9","1000","0.009","0","0"
"claim","claim","9","1000","0.009","0","0"
"center","center","9","1000","0.009","0","0"
"capital","capit","9","1000","0.009","0","0"
"bush","bush","9","1000","0.009","0","0"
"bold","bold","9","1000","0.009","0","0"
"battle","battl","9","1000","0.009","0","0"
"arguing","argu","9","1000","0.009","0","0"
"arabia","arabia","9","1000","0.009","0","0"
"allies","alli","9","1000","0.009","0","0"
"al","al","9","1000","0.009","0","0"
"address","address","9","1000","0.009","0","0"
"young","young","8","1000","0.008","0","0"
"year-old","year-old","8","1000","0.008","0","0"
"woman","woman","8","1000","0.008","0","0"
"wars","wars","8","1000","0.008","0","0"
"ward","ward","8","1000","0.008","0","0"
"waged","wage","8","1000","0.008","0","0"
"title","titl","8","1000","0.008","0","0"
"thousands","thousand","8","1000","0.008","0","0"
"system","system","8","1000","0.008","0","0"
"suffered","suffer","8","1000","0.008","0","0"
"struggle","struggl","8","1000","0.008","0","0"
"street","street","8","1000","0.008","0","0"
"span","span","8","1000","0.008","0","0"
"situation","situat","8","1000","0.008","0","0"
"signs","sign","8","1000","0.008","0","0"
"shot","shot","8","1000","0.008","0","0"
"short","short","8","1000","0.008","0","0"
"school","school","8","1000","0.008","0","0"
"role","role","8","1000","0.008","0","0"
"resolution","resolut","8","1000","0.008","0","0"
"research","research","8","1000","0.008","0","0"
"range","rang","8","1000","0.008","0","0"
"racial","racial","8","1000","0.008","0","0"
"question","question","8","1000","0.008","0","0"
"protect","protect","8","1000","0.008","0","0"
"production","product","8","1000","0.008","0","0"
"peacekeeping","peacekeep","8","1000","0.008","0","0"
"oil","oil","8","1000","0.008","0","0"
"message","messag","8","1000","0.008","0","0"
"mayor","mayor","8","1000","0.008","0","0"
"lot","lot","8","1000","0.008","0","0"
"led","led","8","1000","0.008","0","0"
"large","larg","8","1000","0.008","0","0"
"land","land","8","1000","0.008","0","0"
"key","key","8","1000","0.008","0","0"
"intelligence","intellig","8","1000","0.008","0","0"
"information","inform","8","1000","0.008","0","0"
"idea","idea","8","1000","0.008","0","0"
"historic","histor","8","1000","0.008","0","0"
"growing","grow","8","1000","0.008","0","0"
"gas","gas","8","1000","0.008","0","0"
"future","futur","8","1000","0.008","0","0"
"free","free","8","1000","0.008","0","0"
"facing","face","8","1000","0.008","0","0"
"expected","expect","8","1000","0.008","0","0"
"executive","execut","8","1000","0.008","0","0"
"event","event","8","1000","0.008","0","0"
"engaged","engag","8","1000","0.008","0","0"
"disease","diseas","8","1000","0.008","0","0"
"demand","demand","8","1000","0.008","0","0"
"coming","come","8","1000","0.008","0","0"
"climate","climat","8","1000","0.008","0","0"
"chinese","chines","8","1000","0.008","0","0"
"brought","brought","8","1000","0.008","0","0"
"british","british","8","1000","0.008","0","0"
"break","break","8","1000","0.008","0","0"
"book","book","8","1000","0.008","0","0"
"began","began","8","1000","0.008","0","0"
"asia","asia","8","1000","0.008","0","0"
"arrested","arrest","8","1000","0.008","0","0"
"arab","arab","8","1000","0.008","0","0"
"administration","administr","8","1000","0.008","0","0"
"vaccine","vaccin","7","1000","0.007","0","0"
"ukraine","ukrain","7","1000","0.007","0","0"
"terror","terror","7","1000","0.007","0","0"
"tensions","tension","7","1000","0.007","0","0"
"sunny","sunni","7","1000","0.007","0","0"
"story","stori","7","1000","0.007","0","0"
"stay","stay","7","1000","0.007","0","0"
"song","song","7","1000","0.007","0","0"
"solutions","solut","7","1000","0.007","0","0"
"severe","sever","7","1000","0.007","0","0"
"sending","send","7","1000","0.007","0","0"
"requirement","requir","7","1000","0.007","0","0"
"republic","republ","7","1000","0.007","0","0"
"relations","relat","7","1000","0.007","0","0"
"reforms","reform","7","1000","0.007","0","0"
"reduce","reduc","7","1000","0.007","0","0"
"reason","reason","7","1000","0.007","0","0"
"read","read","7","1000","0.007","0","0"
"provide","provid","7","1000","0.007","0","0"
"prompting","prompt","7","1000","0.007","0","0"
"promoting","promot","7","1000","0.007","0","0"
"promised","promis","7","1000","0.007","0","0"
"partner","partner","7","1000","0.007","0","0"
"pandemic","pandem","7","1000","0.007","0","0"
"order","order","7","1000","0.007","0","0"
"night","night","7","1000","0.007","0","0"
"navy","navi","7","1000","0.007","0","0"
"mexico","mexico","7","1000","0.007","0","0"
"mass","mass","7","1000","0.007","0","0"
"lost","lost","7","1000","0.007","0","0"
"league","leagu","7","1000","0.007","0","0"
"korea","korea","7","1000","0.007","0","0"
"karadzic","karadz","7","1000","0.007","0","0"
"joined","join","7","1000","0.007","0","0"
"jews","jew","7","1000","0.007","0","0"
"interview","interview","7","1000","0.007","0","0"
"industry","industri","7","1000","0.007","0","0"
"imposed","impos","7","1000","0.007","0","0"
"hours","hour","7","1000","0.007","0","0"
"ground","ground","7","1000","0.007","0","0"
"games","game","7","1000","0.007","0","0"
"french","french","7","1000","0.007","0","0"
"found","found","7","1000","0.007","0","0"
"form","form","7","1000","0.007","0","0"
"focus","focus","7","1000","0.007","0","0"
"field","field","7","1000","0.007","0","0"
"feel","feel","7","1000","0.007","0","0"
"federal","feder","7","1000","0.007","0","0"
"far","far","7","1000","0.007","0","0"
"fact","fact","7","1000","0.007","0","0"
"facebook","facebook","7","1000","0.007","0","0"
"drug","drug","7","1000","0.007","0","0"
"disaster","disast","7","1000","0.007","0","0"
"debt","debt","7","1000","0.007","0","0"
