,cnn,bbc,nbc,fox,aljazeera
10,https://www.cnn.com/2022/09/25/opinions/britain-empire-history-kenya-bergen/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/world-africa-63661322,https://www.nbcnews.com/video/lagos-nigeria-keeps-growing-as-world-population-passes-8-billion-153665093874,https://www.foxnews.com/us/vermont-grants-ugandan-activist-yearlong-stay-deportation,https://www.aljazeera.com/qatar-world-cup-2022/
11,https://www.cnn.com/style/article/great-star-of-africa-diamond-intl-lgs/index.html,https://www.bbc.com/news/world-africa-63707533,https://www.nbcnews.com/video/millions-face-food-insecurity-in-somalia-s-worst-drought-for-40-years-153217093679,https://www.foxnews.com/us/vermont-grants-ugandan-activist-yearlong-stay-deportation,https://www.aljazeera.com/sports/2022/11/21/world-cup-2022-day-2-schedule-players-and-what-to-expect
12,https://www.cnn.com/style/article/ben-enwonwu-queen-elizabeth-sculpture-intl-lgs/index.html,https://www.bbc.com/news/world-africa-63668454,https://www.nbcnews.com/video/climate-change-activists-demand-human-rights-justice-at-cop27-153142341908,https://www.foxnews.com/us/vermont-grants-ugandan-activist-yearlong-stay-deportation,https://www.aljazeera.com/program/witness/
13,https://www.cnn.com/2022/11/17/africa/cop27-egypt-africa-climate-intl-cmd/index.html,https://www.bbc.com/news/world-africa-63670262,https://www.nbcnews.com/now/video/mass-burial-held-in-tanzania-for-19-victims-of-plane-crash-152873029792,https://www.foxnews.com/world/kenyas-second-building-collapse-week-kills-2,https://www.aljazeera.com/program/witness/2022/11/21/serigne-vs-the-eu-fighting-european-overfishing-in-africa
14,https://www.cnn.com/2022/11/06/world/cop27-egypt-what-to-watch-climate/index.html,https://www.bbc.com/news/world-africa-63666182,https://www.nbcnews.com/video/al-gore-tells-cop27-climate-summit-in-egypt-to-end-fossil-fuel-dependency-152801349551,https://www.foxnews.com/world/kenyas-second-building-collapse-week-kills-2,https://www.aljazeera.com/program/witness/2022/11/21/serigne-vs-the-eu-fighting-european-overfishing-in-africa
15,https://www.cnn.com/style/article/black-panther-2-wakanda-forever-lagos-premiere-spc-intl/index.html,https://www.bbc.com/news/world-africa-63656174,https://www.nbcnews.com/video/fire-breaks-out-high-up-on-kilimanjaro-151345221809,https://www.foxnews.com/world/kenyas-second-building-collapse-week-kills-2,https://www.aljazeera.com/qatar-world-cup-2022/
16,https://www.cnn.com/2022/10/18/africa/green-ammonia-hive-energy-scn-climate-spc-intl/index.html,https://www.bbc.comhttp://www.bbc.co.uk/news/world-africa-29144792,https://www.nbcnews.com/video/ebola-outbreak-threatens-to-overwhelm-ugandan-health-care-150829125586,https://www.foxnews.com/world/gates-foundation-pledges-7b-africa-ukraine-crisis-disrupts-donation-flow,https://www.aljazeera.com/sports/2022/11/21/senegal-v-netherlands-group-favourites-clash-in-opening-game
17,https://www.cnn.com/2022/11/05/africa/elephants-dead-kenya-intl/index.html,https://www.bbc.comhttps://www.bbc.co.uk/news/world-africa-54055822,https://www.nbcnews.com/video/kenyan-warriors-mourn-queen-elizabeth-ii-under-the-shadow-of-colonialism-148578885738,https://www.foxnews.com/world/gates-foundation-pledges-7b-africa-ukraine-crisis-disrupts-donation-flow,https://www.aljazeera.com/opinion/
18,https://www.cnn.com/2022/10/05/africa/kenya-drought-wildlife-climate-intl-cmd/index.html,,https://www.nbcnews.com/video/man-mauled-to-death-by-lion-after-climbing-into-zoo-enclosure-147315781688,https://www.foxnews.com/world/gates-foundation-pledges-7b-africa-ukraine-crisis-disrupts-donation-flow,https://www.aljazeera.com/opinions/2022/11/20/we-should-not-abandon-children-who-face-violence-and-hunger
19,https://www.cnn.com/2022/09/15/entertainment/the-woman-king-review/index.html,,https://www.nbcnews.com/video/early-count-shows-tight-kenyan-presidential-election-amid-low-voter-turnout-145864261556,https://www.foxnews.com/world/sudanese-tribal-clashes-darfur-leaves-48-dead,https://www.aljazeera.com/qatar-world-cup-2022/
20,https://www.cnn.com/2022/09/22/opinions/the-woman-king-history-misogyny-burton/index.html,,https://www.nbcnews.com/video/russia-s-lavrov-accuses-the-west-of-impeding-ukrainian-talks-and-grain-deal-144714309953,https://www.foxnews.com/world/sudanese-tribal-clashes-darfur-leaves-48-dead,https://www.aljazeera.com/news/2022/11/20/world-leaders-diplomats-descend-on-qatar-for-2022-world-cup
21,https://www.cnn.com/2022/09/28/entertainment/grammys-consider-afrobeats-category-cec/index.html,,https://www.nbcnews.com/video/-a-big-step-backwards-boris-johnson-condemns-supreme-court-roe-v-wade-ruling-142783557899,https://www.foxnews.com/world/sudanese-tribal-clashes-darfur-leaves-48-dead,
